Record_number,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Ra_annual,Rh_annual,Rh_ratio,Mean.Temp.,ΔMean.Temp.,Stdev.Temp.30y,Mean.Precip.,ΔMean.Precip.,Stdev.Precip.30y,Latitude2,ΔMAT.Standardized,ΔMAP.Standardized,SOC_015,SOC_200
280,2004.5,1.5,45.25,127.75,45.25 127.75,45.37,127.53,45.37 127.53,3653,300,Temperate,Evergreen Forest,Evergreen,2.8,700,IRGA,Exclusion,Mature,514,425,89,0.173151751,-0.644444444,-4.034548611,0.713897797,41.83888889,-13.71605903,8.535495832,45.37,-5.651437266,-1.606943439,60040,33525
281,2004.5,1.5,45.25,127.75,45.25 127.75,45.37,127.53,45.37 127.53,3653,300,Temperate,Deciduous Forest,Deciduous,2.8,700,IRGA,Exclusion,Mature,403,207,196,0.486352357,-0.644444444,-4.034548611,0.713897797,41.83888889,-13.71605903,8.535495832,45.37,-5.651437266,-1.606943439,60040,33525
295,2002,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,800,270,530,0.6625,15.925,-0.179947917,0.597082159,62.18333333,-18.259375,17.73332441,34.98,-0.30137882,-1.029664522,18012,1695
296,2002,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,900,300,600,0.666666667,15.925,-0.179947917,0.597082159,62.18333333,-18.259375,17.73332441,34.98,-0.30137882,-1.029664522,10980,1695
297,2002,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,790,290,500,0.632911392,15.925,-0.179947917,0.597082159,62.18333333,-18.259375,17.73332441,34.98,-0.30137882,-1.029664522,10980,1695
298,2002,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,920,400,520,0.565217391,15.925,-0.179947917,0.597082159,62.18333333,-18.259375,17.73332441,34.98,-0.30137882,-1.029664522,10980,1695
299,2003,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,825,230,595,0.721212121,15.075,-1.029947917,0.597082159,78.31666667,-2.126041667,17.73332441,34.98,-1.724968502,-0.119889628,16512,1695
300,2003,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,900,240,660,0.733333333,15.075,-1.029947917,0.597082159,78.31666667,-2.126041667,17.73332441,34.98,-1.724968502,-0.119889628,16512,1695
301,2003,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,740,225,515,0.695945946,15.075,-1.029947917,0.597082159,78.31666667,-2.126041667,17.73332441,34.98,-1.724968502,-0.119889628,14892,1695
302,2003,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,900,390,510,0.566666667,15.075,-1.029947917,0.597082159,78.31666667,-2.126041667,17.73332441,34.98,-1.724968502,-0.119889628,14892,1695
303,2004,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,850,350,500,0.588235294,16.16666667,0.06171875,0.597082159,69.30833333,-11.134375,17.73332441,34.98,0.103367265,-0.627878605,14160,1695
304,2004,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,900,300,600,0.666666667,16.16666667,0.06171875,0.597082159,69.30833333,-11.134375,17.73332441,34.98,0.103367265,-0.627878605,14160,1695
305,2004,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,805,365,440,0.546583851,16.16666667,0.06171875,0.597082159,69.30833333,-11.134375,17.73332441,34.98,0.103367265,-0.627878605,14160,1695
306,2004,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,850,240,610,0.717647059,16.16666667,0.06171875,0.597082159,69.30833333,-11.134375,17.73332441,34.98,0.103367265,-0.627878605,18972,1695
307,2005,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,875,305,570,0.651428571,15.78333333,-0.321614583,0.597082159,71.81666667,-8.626041667,17.73332441,34.98,-0.538643767,-0.486431166,18972,1695
308,2005,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,968,333,635,0.655991736,15.78333333,-0.321614583,0.597082159,71.81666667,-8.626041667,17.73332441,34.98,-0.538643767,-0.486431166,18972,1695
309,2005,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,805,325,480,0.596273292,15.78333333,-0.321614583,0.597082159,71.81666667,-8.626041667,17.73332441,34.98,-0.538643767,-0.486431166,18972,1695
310,2005,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,329.8,Temperate,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,900,300,600,0.666666667,15.78333333,-0.321614583,0.597082159,71.81666667,-8.626041667,17.73332441,34.98,-0.538643767,-0.486431166,18972,1695
332,2001,1,44.25,-122.25,44.25 -122.25,44.25,-122.17,44.25 -122.17,3148,531,Temperate,Evergreen Forest,Evergreen,8.7,2370,IRGA,Exclusion,Mature,831,191,640,0.770156438,9.266666667,-0.427083333,0.594796777,96.98333333,-61.90520833,32.31787318,44.25,-0.71803236,-1.915509972,124899,16786
333,2002,1,44.25,-122.25,44.25 -122.25,44.25,-122.17,44.25 -122.17,3148,531,Temperate,Evergreen Forest,Evergreen,8.7,2370,IRGA,Exclusion,Mature,727,167,560,0.770288858,9.291666667,-0.402083333,0.594796777,159.9,1.011458333,32.31787318,44.25,-0.676001197,0.031297181,92351,16786
334,2003,1,44.25,-122.25,44.25 -122.25,44.25,-122.17,44.25 -122.17,3148,531,Temperate,Evergreen Forest,Evergreen,8.7,2370,IRGA,Exclusion,Mature,841,193,648,0.770511296,9.95,0.25625,0.594796777,136.7666667,-22.121875,32.31787318,44.25,0.430819416,-0.684508998,92351,16786
446,1996.5,1,18.25,-65.75,18.25 -65.75,18.25,-65.71,18.25 -65.71,2679,58,Tropical,Evergreen Forest,Evergreen,22.3,3500,Alkali absorption,Exclusion,Aggrading,971,675,296,0.304840371,21.75833333,-0.436979167,0.452489301,271.7916667,30.17161458,40.52530429,18.25,-0.965722649,0.744512968,30513,2934
450,1996.5,1,18.25,-65.75,18.25 -65.75,18.25,-65.71,18.25 -65.71,2679,58,Tropical,Evergreen Forest,Evergreen,22.3,3500,Alkali absorption,Exclusion,Aggrading,850,478,372,0.437647059,21.75833333,-0.436979167,0.452489301,271.7916667,30.17161458,40.52530429,18.25,-0.965722649,0.744512968,30513,2934
568,1996,1,44.25,-121.75,44.25 -121.75,44.42,-121.51,44.42 -121.51,1629,940,Temperate,Evergreen Forest,Evergreen,8.1,600,IRGA,Subtraction,Mature,683,594,89,0.130307467,3.658333333,-0.4078125,0.544925798,194.2166667,70.7078125,27.05208584,44.42,-0.748381709,2.613765642,42137,7140
569,1997,1,44.25,-121.75,44.25 -121.75,44.42,-121.51,44.42 -121.51,1629,940,Temperate,Evergreen Forest,Evergreen,8.1,600,IRGA,Subtraction,Mature,773,639,134,0.173350582,3.866666667,-0.199479167,0.544925798,187.5166667,64.0078125,27.05208584,44.42,-0.36606666,2.366095276,42137,7140
577,2001,1,23.25,112.75,23.25 112.75,23.17,112.54,23.17 112.54,4159,258,Tropical,Deciduous Forest,Deciduous,21,1927,IRGA,Exclusion,Mature,1142,1008,134,0.117338004,22.25833333,0.029427083,0.337761417,168.0916667,20.21953125,23.0414228,23.17,0.087123875,0.877529631,46496,15840
578,2001,1,23.25,112.75,23.25 112.75,23.17,112.54,23.17 112.54,4159,258,Tropical,Mixed Forest,Mixed,21,1927,IRGA,Exclusion,Mature,1026,913,113,0.110136452,22.25833333,0.029427083,0.337761417,168.0916667,20.21953125,23.0414228,23.17,0.087123875,0.877529631,46496,15840
579,2001,1,23.25,112.75,23.25 112.75,23.17,112.54,23.17 112.54,4159,258,Tropical,Evergreen Forest,Evergreen,21,1927,IRGA,Exclusion,Mature,1040,921,120,0.115384615,22.25833333,0.029427083,0.337761417,168.0916667,20.21953125,23.0414228,23.17,0.087123875,0.877529631,46496,15840
708,1993,1,31.25,-97.25,31.25 -97.25,31.1,-97.33,31.1 -97.33,1432,219,Temperate,Grassland,Deciduous,18.375,75.26666667,IRGA,Comparison,Aggrading,172,69,103,0.598837209,18.375,-0.8484375,0.583797024,75.26666667,0.584635417,18.71439361,31.1,-1.453309052,0.03123988,17436,8195
709,1993,1,31.25,-97.25,31.25 -97.25,31.1,-97.33,31.1 -97.33,1432,219,Temperate,Grassland,Deciduous,18.375,75.26666667,IRGA,Comparison,Mature,1032,929,103,0.099806202,18.375,-0.8484375,0.583797024,75.26666667,0.584635417,18.71439361,31.1,-1.453309052,0.03123988,17436,8195
710,1993,1,31.25,-97.25,31.25 -97.25,31.1,-97.33,31.1 -97.33,1432,219,Temperate,Grassland,Deciduous,18.375,75.26666667,IRGA,Comparison,Aggrading,516,413,103,0.199612403,18.375,-0.8484375,0.583797024,75.26666667,0.584635417,18.71439361,31.1,-1.453309052,0.03123988,17436,8195
711,1994,1,31.25,-97.25,31.25 -97.25,31.1,-97.33,31.1 -97.33,1432,219,Temperate,Grassland,Deciduous,18.875,61.06666667,IRGA,Comparison,Aggrading,430,327,103,0.239534884,18.875,-0.3484375,0.583797024,61.06666667,-13.61536458,18.71439361,31.1,-0.596846996,-0.727534371,17436,8195
712,1994,1,31.25,-97.25,31.25 -97.25,31.1,-97.33,31.1 -97.33,1432,219,Temperate,Grassland,Deciduous,18.875,61.06666667,IRGA,Comparison,Mature,645,542,103,0.159689922,18.875,-0.3484375,0.583797024,61.06666667,-13.61536458,18.71439361,31.1,-0.596846996,-0.727534371,17436,8195
713,1994,1,31.25,-97.25,31.25 -97.25,31.1,-97.33,31.1 -97.33,1432,219,Temperate,Grassland,Deciduous,18.875,61.06666667,IRGA,Comparison,Aggrading,1032,929,103,0.099806202,18.875,-0.3484375,0.583797024,61.06666667,-13.61536458,18.71439361,31.1,-0.596846996,-0.727534371,17436,8195
938,1996.5,1.3,49.25,-119.25,49.25 -119.25,49.42,-119.12,49.42 -119.12,1850,1127.1,Temperate,Evergreen Forest,Evergreen,5.7,660,IRGA,Subtraction,Mature,856,269,587,0.685747664,-1.40625,-3.95625,0.768168039,47.0625,8.604427083,5.412999908,49.42,-5.150240311,1.58958567,18510,0
939,1996.5,1.3,49.25,-119.25,49.25 -119.25,49.42,-119.12,49.42 -119.12,1850,1127.1,Temperate,Evergreen Forest,Evergreen,5.7,660,IRGA,Subtraction,Mature,849,333,516,0.607773852,-1.40625,-3.95625,0.768168039,47.0625,8.604427083,5.412999908,49.42,-5.150240311,1.58958567,18135,0
951,2003,1,40.75,-96.75,40.75 -96.75,40.82,-96.65,40.82 -96.65,3715,357,Temperate,Agriculture,Deciduous,10.7,755,IRGA,Comparison,Aggrading,882,265,617,0.699546485,10.63333333,-0.493489583,0.900933247,72.81666667,2.78515625,14.84966879,40.82,-0.547753771,0.187556793,17822,4605
952,2003,1,40.75,-96.75,40.75 -96.75,40.82,-96.65,40.82 -96.65,3715,357,Temperate,Agriculture,Deciduous,10.7,755,IRGA,Comparison,Aggrading,102,31,71,0.696078431,10.63333333,-0.493489583,0.900933247,72.81666667,2.78515625,14.84966879,40.82,-0.547753771,0.187556793,17822,4605
953,2003,1,40.75,-96.75,40.75 -96.75,40.82,-96.65,40.82 -96.65,3715,357,Temperate,Agriculture,Deciduous,10.7,755,IRGA,Comparison,Aggrading,587,176,411,0.700170358,10.63333333,-0.493489583,0.900933247,72.81666667,2.78515625,14.84966879,40.82,-0.547753771,0.187556793,16926,4605
954,2003,1,40.75,-96.75,40.75 -96.75,40.82,-96.65,40.82 -96.65,3715,357,Temperate,Agriculture,Deciduous,10.7,755,IRGA,Comparison,Aggrading,798,239,559,0.700501253,10.63333333,-0.493489583,0.900933247,72.81666667,2.78515625,14.84966879,40.82,-0.547753771,0.187556793,16898,4605
955,2004,1,40.75,-96.75,40.75 -96.75,40.82,-96.65,40.82 -96.65,3715,357,Temperate,Agriculture,Deciduous,10.7,755,IRGA,Comparison,Aggrading,593,178,415,0.699831366,11.00833333,-0.118489583,0.900933247,58.49166667,-11.53984375,14.84966879,40.82,-0.131518715,-0.777111188,17276,4605
956,2004,1,40.75,-96.75,40.75 -96.75,40.82,-96.65,40.82 -96.65,3715,357,Temperate,Agriculture,Deciduous,10.7,755,IRGA,Comparison,Aggrading,575,173,403,0.700869565,11.00833333,-0.118489583,0.900933247,58.49166667,-11.53984375,14.84966879,40.82,-0.131518715,-0.777111188,17066,4605
957,2004,1,40.75,-96.75,40.75 -96.75,40.82,-96.65,40.82 -96.65,3715,357,Temperate,Agriculture,Deciduous,10.7,755,IRGA,Comparison,Aggrading,495,149,347,0.701010101,11.00833333,-0.118489583,0.900933247,58.49166667,-11.53984375,14.84966879,40.82,-0.131518715,-0.777111188,17262,4605
958,2004,1,40.75,-96.75,40.75 -96.75,40.82,-96.65,40.82 -96.65,3715,357,Temperate,Agriculture,Deciduous,10.7,755,IRGA,Comparison,Aggrading,447,134,313,0.700223714,11.00833333,-0.118489583,0.900933247,58.49166667,-11.53984375,14.84966879,40.82,-0.131518715,-0.777111188,17290,4605
959,2005,1,40.75,-96.75,40.75 -96.75,40.82,-96.65,40.82 -96.65,3715,357,Temperate,Agriculture,Deciduous,10.7,755,IRGA,Comparison,Aggrading,529,159,370,0.699432892,11.49166667,0.36484375,0.900933247,55.19166667,-14.83984375,14.84966879,40.82,0.404962023,-0.999338366,18228,4605
960,2005,1,40.75,-96.75,40.75 -96.75,40.82,-96.65,40.82 -96.65,3715,357,Temperate,Agriculture,Deciduous,10.7,755,IRGA,Comparison,Aggrading,581,174,407,0.700516351,11.49166667,0.36484375,0.900933247,55.19166667,-14.83984375,14.84966879,40.82,0.404962023,-0.999338366,17066,4605
961,2005,1,40.75,-96.75,40.75 -96.75,40.82,-96.65,40.82 -96.65,3715,357,Temperate,Agriculture,Deciduous,10.7,755,IRGA,Comparison,Aggrading,429,129,300,0.699300699,11.49166667,0.36484375,0.900933247,55.19166667,-14.83984375,14.84966879,40.82,0.404962023,-0.999338366,15834,4605
962,2005,1,40.75,-96.75,40.75 -96.75,40.82,-96.65,40.82 -96.65,3715,357,Temperate,Agriculture,Deciduous,10.7,755,IRGA,Comparison,Aggrading,498,149,349,0.700803213,11.49166667,0.36484375,0.900933247,55.19166667,-14.83984375,14.84966879,40.82,0.404962023,-0.999338366,15834,4605
963,2005,1,40.75,-96.75,40.75 -96.75,40.82,-96.65,40.82 -96.65,3715,357,Temperate,Agriculture,Deciduous,10.7,755,IRGA,Comparison,Aggrading,636,127,509,0.800314465,11.49166667,0.36484375,0.900933247,55.19166667,-14.83984375,14.84966879,40.82,0.404962023,-0.999338366,15834,4605
992,2004.5,2,44.75,-121.75,44.75 -121.75,44.6,-121.53,44.6 -121.53,3877,1067.8,Temperate,Evergreen Forest,Evergreen,5.5,2800,IRGA,Comparison,Aggrading,373,145,228,0.611260054,5.8125,0.48671875,0.542735388,102.9125,-22.45963542,28.05258029,44.6,0.896788307,-0.800626366,42804,10626
993,2004.5,2,44.75,-121.75,44.75 -121.75,44.58,-121.54,44.58 -121.54,3877,999.4,Temperate,Evergreen Forest,Evergreen,5.5,2800,IRGA,Comparison,Aggrading,599,242,357,0.595993322,5.8125,0.48671875,0.542735388,102.9125,-22.45963542,28.05258029,44.58,0.896788307,-0.800626366,34952,5876
994,2004.5,2,44.75,-121.75,44.75 -121.75,44.56,-121.5,44.56 -121.5,3877,1093.6,Temperate,Evergreen Forest,Evergreen,5.5,2800,IRGA,Comparison,Aggrading,471,182,289,0.61358811,5.8125,0.48671875,0.542735388,102.9125,-22.45963542,28.05258029,44.56,0.896788307,-0.800626366,42328,4440
995,2004.5,2,44.75,-121.75,44.75 -121.75,44.56,-121.5,44.56 -121.5,3877,1093.6,Temperate,Evergreen Forest,Evergreen,5.5,2800,IRGA,Comparison,Aggrading,479,184,295,0.615866388,5.8125,0.48671875,0.542735388,102.9125,-22.45963542,28.05258029,44.56,0.896788307,-0.800626366,52593,4440
996,2004.5,2,44.75,-121.75,44.75 -121.75,44.57,-121.54,44.57 -121.54,3877,1096.6,Temperate,Evergreen Forest,Evergreen,5.5,2800,IRGA,Comparison,Aggrading,495,194,301,0.608080808,5.8125,0.48671875,0.542735388,102.9125,-22.45963542,28.05258029,44.57,0.896788307,-0.800626366,38868,8850
997,2004.5,2,44.75,-121.75,44.75 -121.75,44.57,-121.53,44.57 -121.53,3877,1103,Temperate,Evergreen Forest,Evergreen,5.5,2800,IRGA,Comparison,Aggrading,699,297,402,0.575107296,5.8125,0.48671875,0.542735388,102.9125,-22.45963542,28.05258029,44.57,0.896788307,-0.800626366,36024,4518
998,2004.5,2,44.75,-121.75,44.75 -121.75,44.6,-121.53,44.6 -121.53,3877,1067.8,Temperate,Evergreen Forest,Evergreen,5.5,2800,IRGA,Comparison,Aggrading,448,175,273,0.609375,5.8125,0.48671875,0.542735388,102.9125,-22.45963542,28.05258029,44.6,0.896788307,-0.800626366,42517,10626
999,2004.5,2,44.75,-121.75,44.75 -121.75,44.58,-121.51,44.58 -121.51,3877,925,Temperate,Evergreen Forest,Evergreen,5.5,2800,IRGA,Comparison,Aggrading,449,169,280,0.623608018,5.8125,0.48671875,0.542735388,102.9125,-22.45963542,28.05258029,44.58,0.896788307,-0.800626366,40443,5728
1000,2004.5,2,44.75,-121.75,44.75 -121.75,44.59,-121.53,44.59 -121.53,3877,996.5,Temperate,Evergreen Forest,Evergreen,5.5,2800,IRGA,Comparison,Aggrading,540,207,333,0.616666667,5.8125,0.48671875,0.542735388,102.9125,-22.45963542,28.05258029,44.59,0.896788307,-0.800626366,50740,4494
1001,2004.5,2,44.75,-121.75,44.75 -121.75,44.57,-121.52,44.57 -121.52,3877,1002.9,Temperate,Evergreen Forest,Evergreen,5.5,2800,IRGA,Comparison,Aggrading,451,156,295,0.654101996,5.8125,0.48671875,0.542735388,102.9125,-22.45963542,28.05258029,44.57,0.896788307,-0.800626366,46020,6040
1002,2004.5,2,44.75,-121.75,44.75 -121.75,44.58,-121.5,44.58 -121.5,3877,894.3,Temperate,Evergreen Forest,Evergreen,5.5,2800,IRGA,Comparison,Aggrading,351,124,227,0.646723647,5.8125,0.48671875,0.542735388,102.9125,-22.45963542,28.05258029,44.58,0.896788307,-0.800626366,40623,4389
1003,2004.5,2,44.75,-121.75,44.75 -121.75,44.58,-121.51,44.58 -121.51,3877,925,Temperate,Evergreen Forest,Evergreen,5.5,2800,IRGA,Comparison,Aggrading,468,125,343,0.732905983,5.8125,0.48671875,0.542735388,102.9125,-22.45963542,28.05258029,44.58,0.896788307,-0.800626366,46527,5728
1004,2003,1,49.75,-125.25,49.75 -125.25,49.87,-125.33,49.87 -125.33,3885,278.9,Temperate,Evergreen Forest,Evergreen,8.6,1450,IRGA,Exclusion,Mature,932,373,559,0.599785408,5.241666667,0.133854167,0.550216273,119.9416667,-3.344270833,25.07440295,49.87,0.24327555,-0.133373897,86184,30162
1005,2004,1,49.75,-125.25,49.75 -125.25,49.87,-125.33,49.87 -125.33,3885,278.9,Temperate,Evergreen Forest,Evergreen,8.6,1450,IRGA,Exclusion,Mature,1016,406,610,0.600393701,5.358333333,0.250520833,0.550216273,106.7833333,-16.50260417,25.07440295,49.87,0.455313384,-0.658145448,84096,30162
1006,2005,1,49.75,-125.25,49.75 -125.25,49.87,-125.33,49.87 -125.33,3885,278.9,Temperate,Evergreen Forest,Evergreen,8.6,1450,IRGA,Exclusion,Mature,994,398,596,0.599597586,5.683333333,0.575520833,0.550216273,124.575,1.2890625,25.07440295,49.87,1.045990207,0.051409499,80856,30162
1036,2004.5,1,48.75,7.25,48.75 7.25,48.67,7.06,48.67 7.06,4003,305,Temperate,Deciduous Forest,Deciduous,9.7,913,IRGA,Exclusion,Mature,528,364,164,0.310606061,9.358333333,-0.191145833,0.700860628,68.075,-3.038020833,8.289291286,48.67,-0.272730163,-0.366499466,39122,4227
1037,2004.5,1,48.75,7.25,48.75 7.25,48.68,7.07,48.68 7.07,4003,300,Temperate,Deciduous Forest,Deciduous,9.7,913,IRGA,Exclusion,Mature,527,285,242,0.459203036,9.358333333,-0.191145833,0.700860628,68.075,-3.038020833,8.289291286,48.68,-0.272730163,-0.366499466,35336,16137
1086,1999.5,2.3,-12.25,131.25,-12.25 131.25,12.47,131.13,-12.47 131.13,2241,0,Tropical,Savanna,Evergreen,31.5,1700,IRGA,Extraction,Mature,1430,710,720,0.503496503,26.98928571,-0.415401786,0.36488913,150.025,12.49036458,25.51609812,-12.47,-1.138432887,0.489509192,NA,NA
1087,1993,1,44.75,-68.75,44.75 -68.75,44.92,-68.68,44.92 -68.68,2246,42.8,Temperate,Evergreen Forest,Evergreen,6,1020,Alkali absorption,Subtraction,Mature,518,195,323,0.623552124,6.275,-1.098177083,0.67557884,72.91666667,-13.28020833,15.63372223,44.92,-1.62553505,-0.849459146,29406,4737
1104,1999,1,47.25,-71.25,47.25 -71.25,47.32,-71.1,47.32 -71.1,2349,700,Temperate,Evergreen Forest,Evergreen,1.733333333,129.35,IRGA,Exclusion,Mature,720,270,440,0.611111111,1.733333333,1.006770833,0.829238214,129.35,9.150260417,13.60409148,47.32,1.214091218,0.672610915,88044,54171
1105,2000,1,47.25,-71.25,47.25 -71.25,47.32,-71.1,47.32 -71.1,2349,700,Temperate,Evergreen Forest,Evergreen,1.125,119.4333333,IRGA,Exclusion,Mature,550,200,350,0.636363636,1.125,0.3984375,0.829238214,119.4333333,-0.76640625,13.60409148,47.32,0.480486178,-0.056336452,88044,54171
1108,1999,1,47.75,-68.25,47.75 -68.25,47.73,-68.15,47.73 -68.15,2349,400,Temperate,Evergreen Forest,Evergreen,3.225,84.45,IRGA,Exclusion,Mature,1300,740,570,0.438461538,3.225,1.051822917,0.774793673,84.45,-4.510416667,8.563685506,47.73,1.357552279,-0.526691068,122952,86298
1109,2000,1,47.75,-68.25,47.75 -68.25,47.73,-68.15,47.73 -68.15,2349,400,Temperate,Evergreen Forest,Evergreen,2.725,92.26666667,IRGA,Exclusion,Mature,1030,580,450,0.436893204,2.725,0.551822917,0.774793673,92.26666667,3.30625,8.563685506,47.73,0.712219183,0.386077933,122952,86298
1112,1999,1,46.25,-66.25,46.25 -66.25,46.03,-66.38,46.03 -66.38,2349,50,Temperate,Evergreen Forest,Evergreen,5.9,83.94166667,IRGA,Exclusion,Mature,1680,1160,520,0.30952381,5.9,0.925,0.994209006,83.94166667,-7.734635417,11.56296739,46.03,0.93038787,-0.668914402,26994,6604
1113,2000,1,46.25,-66.25,46.25 -66.25,46.03,-66.38,46.03 -66.38,2349,50,Temperate,Evergreen Forest,Evergreen,5.625,100.9833333,IRGA,Exclusion,Mature,1350,800,560,0.414814815,5.625,0.65,0.994209006,100.9833333,9.30703125,11.56296739,46.03,0.653786071,0.804899896,41778,6604
1151,1999,1,53.75,-104.75,53.75 -104.75,53.85,-104.63,53.85 -104.63,2630,494.4,Boreal,Evergreen Forest,Evergreen,1.5,405,IRGA,Subtraction,Aggrading,440,210,230,0.522727273,1.941666667,0.98125,1.008890437,35.16666667,-1.988541667,5.791579467,53.85,0.972603133,-0.343350493,31650,4410
1152,1999,1,53.75,-104.75,53.75 -104.75,53.91,-104.66,53.91 -104.66,2630,512,Boreal,Evergreen Forest,Evergreen,1.5,405,IRGA,Subtraction,Aggrading,240,120,120,0.5,1.941666667,0.98125,1.008890437,35.16666667,-1.988541667,5.791579467,53.91,0.972603133,-0.343350493,53346,1457
1153,1999,1,53.75,-104.75,53.75 -104.75,53.91,-104.65,53.91 -104.65,2630,511,Boreal,Evergreen Forest,Evergreen,1.5,405,IRGA,Subtraction,Aggrading,330,160,170,0.515151515,1.941666667,0.98125,1.008890437,35.16666667,-1.988541667,5.791579467,53.91,0.972603133,-0.343350493,42363,10227
1154,1999,1,53.75,-104.75,53.75 -104.75,53.88,-104.65,53.88 -104.65,2630,498,Boreal,Evergreen Forest,Evergreen,1.5,405,IRGA,Subtraction,Aggrading,570,270,300,0.526315789,1.941666667,0.98125,1.008890437,35.16666667,-1.988541667,5.791579467,53.88,0.972603133,-0.343350493,23681,0
1155,1999,1,53.75,-104.75,53.75 -104.75,53.92,-104.69,53.92 -104.69,2630,509,Boreal,Evergreen Forest,Evergreen,1.5,405,IRGA,Subtraction,Mature,320,150,170,0.53125,1.941666667,0.98125,1.008890437,35.16666667,-1.988541667,5.791579467,53.92,0.972603133,-0.343350493,50715,51030
1329,2001,1,-4.25,11.75,-4.25 11.75,4.35,11.75,-4.35 11.75,3323,100,Tropical,Evergreen Forest,Evergreen,25,1400,IRGA,Comparison,Aggrading,1570,920,650,0.414012739,25.95833333,-0.031510417,0.322420008,104.6083333,-0.2765625,13.29753955,-4.35,-0.097730959,-0.02079802,16100,6775
1330,2001,1,-4.25,11.75,-4.25 11.75,4.35,11.75,-4.35 11.75,3323,100,Tropical,Evergreen Forest,Evergreen,25,1400,IRGA,Comparison,Aggrading,910,0,910,1,25.95833333,-0.031510417,0.322420008,104.6083333,-0.2765625,13.29753955,-4.35,-0.097730959,-0.02079802,16100,6775
1389,2002.5,1,34.75,135.75,34.75 135.75,34.78,135.85,34.78 135.85,4388,220,Temperate,Deciduous Forest,Deciduous,15.5,1449,IRGA,Extraction,Aggrading,581,215,366,0.629948365,15.26666667,0.2421875,0.455023753,84.28333333,-29.48307292,19.29763827,34.78,0.532252434,-1.527807316,29785,14530
1429,2004.5,1.3,49.75,-125.25,49.75 -125.25,49.85,-125.32,49.85 -125.32,3927,320,Temperate,Evergreen Forest,Evergreen,8.6,1452,IRGA,Exclusion,Mature,1200,420,780,0.65,3.975,-1.1328125,0.550216273,122.8375,-0.4484375,25.07440295,49.85,-2.058849503,-0.017884274,51520,25542
1531,2004,1,62.25,30.25,62.25 30.25,62.5,30.5,62.5 30.5,4554,113,Boreal,Agriculture,,2.1,669,IRGA,Exclusion,Aggrading,112,0,112,1,3.283333333,0.384635417,1.05622569,64.83333333,12.00911458,9.297147306,62.5,0.364160255,1.291698861,65205,52458
1533,2005,1,62.25,30.25,62.25 30.25,62.5,30.5,62.5 30.5,4554,113,Boreal,Agriculture,,2.1,669,IRGA,Exclusion,Aggrading,72,0,72,1,3.075,0.176302083,1.05622569,63.05,10.22578125,9.297147306,62.5,0.166917057,1.099883751,89019,52458
